model,price,transmission,mileage,fuelType,tax,mpg,engineSize,carAge
0,9.433483923290392,1,15735,2,150,55.4,1.4,3
5,9.711115659888671,0,36203,0,20,64.2,2.0,4
0,9.305650551780507,1,29946,2,30,55.4,1.4,4
3,9.72913416539135,0,25952,0,145,67.3,2.0,3
2,9.75846178048587,1,1998,2,145,49.6,1.0,1
0,9.539644119118783,0,32260,2,30,58.9,1.4,4
5,9.491752831414368,0,76788,0,30,61.4,2.0,4
3,9.371608519572305,1,75185,0,20,70.6,2.0,4
2,9.230142999272362,1,46112,2,20,60.1,1.4,5
0,9.392661928770137,1,22451,2,30,55.4,1.4,4
2,9.686574550972555,1,28955,2,145,58.9,1.4,3
5,9.711115659888671,0,52198,0,125,57.6,2.0,4
9,9.740968623038354,1,44915,0,145,52.3,2.0,4
2,9.70503661381229,1,21695,2,30,58.9,1.4,3
5,9.642122788401721,1,47348,0,30,61.4,2.0,5
2,9.581903928408666,0,26156,2,145,58.9,1.4,3
9,9.6614159913364,0,28396,0,145,53.3,2.0,4
2,9.539644119118783,0,30516,2,30,56.5,1.4,6
10,9.852194258148577,0,37652,0,200,47.1,2.0,4
9,9.740968623038354,1,34110,2,145,47.9,1.4,6
4,9.75846178048587,0,37100,0,145,67.3,2.0,3
10,9.913437883389296,0,23714,0,200,47.1,2.0,4
4,10.021270588192511,0,21649,0,145,58.9,3.0,3
5,9.769956159911606,0,62748,0,150,53.3,3.0,5
10,9.903487552536127,0,23789,0,200,47.1,2.0,4
3,9.825526011066415,0,17418,0,145,62.8,2.0,3
4,9.878169744551839,0,33300,0,145,61.4,2.0,3
0,9.667765219015058,1,10793,2,145,56.5,1.4,2
3,9.752664662801545,0,25138,0,145,70.6,2.0,2
5,9.546812608597396,1,61176,0,30,62.8,2.0,5
0,9.159047077588632,0,54754,0,0,76.3,1.6,5
9,9.711115659888671,1,21369,2,125,51.4,1.4,3
9,9.615805480084347,0,39190,0,205,47.9,2.0,6
9,9.680344001221918,0,47482,2,150,47.9,1.4,3
9,9.735068900911164,0,40501,0,150,51.4,2.0,4
9,9.417354541360508,0,43195,0,200,47.9,2.0,6
0,9.287301413112312,1,31447,2,145,67.3,1.0,3
5,9.87302834505142,0,34030,0,125,58.9,2.0,4
3,9.680344001221918,1,29063,0,145,70.6,2.0,3
2,9.746833742490752,1,29545,0,145,65.7,2.0,3
2,9.332558004700433,1,75619,0,20,68.9,2.0,5
9,9.752664662801545,0,39603,0,160,50.4,2.0,4
9,9.918376165029878,0,42908,0,145,51.4,2.0,3
4,9.487972108574462,0,83872,0,125,58.9,2.0,6
9,9.629050706834368,0,58750,2,145,47.9,1.4,4
2,9.6614159913364,1,2029,2,145,49.6,1.0,1
5,9.717157974344635,0,22958,2,145,50.4,1.8,2
3,9.574983485564092,0,32097,0,145,72.4,2.0,3
4,9.913437883389296,0,13057,2,145,53.3,2.0,3
20,10.073230327123223,0,20278,2,145,38.7,3.0,3
3,9.453286550586572,1,52561,0,0,74.3,2.0,4
5,9.472704636443673,0,31604,0,20,67.3,2.0,5
9,9.674074388208323,1,32011,2,145,49.6,1.4,4
9,9.615805480084347,1,39134,0,30,60.1,2.0,4
10,9.595602772766828,0,89483,0,205,47.1,2.0,5
2,9.615805480084347,0,56291,2,200,42.8,1.8,5
5,9.680344001221918,0,47767,0,20,61.4,2.0,4
0,9.305650551780507,1,34315,2,125,53.3,1.4,6
2,9.230142999272362,1,66369,0,0,83.1,1.6,4
5,9.825526011066415,1,34110,0,30,61.4,2.0,4
0,8.85366542803745,1,76269,0,0,74.3,1.6,7
2,9.268609280100158,1,37840,0,20,70.6,1.6,4
2,9.680344001221918,1,26249,0,30,67.3,1.6,3
9,9.615805480084347,1,44898,0,125,57.7,2.0,3
9,9.546812608597396,1,67161,2,150,51.4,1.4,3
2,9.849559210510572,1,17992,2,150,54.3,1.5,2
3,9.230142999272362,1,97440,0,20,70.6,2.0,4
0,9.367344120785848,1,19268,2,150,67.3,1.0,3
2,9.350102314351341,0,51441,2,125,50.4,1.8,7
0,9.287301413112312,1,18181,2,0,67.3,1.0,4
2,9.433483923290392,1,19494,0,30,67.3,2.0,4
5,9.717157974344635,1,32808,0,30,61.4,2.0,4
2,9.480367509189243,1,25965,0,145,65.7,2.0,3
2,9.02401079378469,1,88215,0,20,68.9,2.0,4
2,9.680344001221918,1,5704,2,145,49.6,1.0,1
3,9.735068900911164,1,10959,2,145,51.4,1.4,3
10,9.883284845218608,0,30201,0,200,47.1,2.0,4
9,9.98966524877718,0,19319,2,145,40.4,2.0,3
5,9.692766521220475,1,22582,0,145,61.4,2.0,3
4,9.836278802842678,1,20052,2,145,49.6,2.0,3
9,9.686574550972555,1,16666,0,30,60.1,2.0,4
2,9.332558004700433,1,25626,0,0,74.3,1.6,4
2,9.55393007636626,1,10460,2,20,60.1,1.4,4
5,9.717157974344635,0,43307,0,125,57.6,2.0,4
0,9.332558004700433,1,29327,2,30,55.4,1.4,3
9,9.655026193237628,1,36714,2,125,51.4,1.4,3
0,9.210340371976184,1,28324,2,125,53.3,1.4,6
0,9.581903928408666,1,12100,2,30,56.5,1.4,4
9,9.686574550972555,1,18001,0,145,62.8,2.0,3
