Feature,Importance
Inflight wifi service,0.21085151573662875
TravelType,0.2075690287700328
CustomerType,0.13361652828731418
Gate location,0.049816566904807846
Baggage handling,0.024329021046534116
Class,0.021239621548561516
Inflight service,0.01988800926819856
Online boarding,0.013709210272253358
Seat comfort,0.011778335586020483
Inflight entertainment,0.007916586213554733
Cleanliness,0.0057926240586986255
Checkin service,0.0046340992469589
On-board service,0.004054836841088982
Age,0.0036686619038424073
Leg room service,0.0036686619038424073
Arrival Delay in Minutes,0.0017377872176096432
Departure Delay in Minutes,0.0013516122803630681
Ease of Online booking,0.0009654373431164931
Food and drink,0.00038617493724657503
Flight Distance,0.0
Gender,-0.000193087468623232
Departure/Arrival time convenient,-0.000193087468623232
